# t	u	ec	e
2.660000000001189	-2.258672399662478	0.8354805414975394	-1.4231918581649383
2.6650000000011995	-2.262120580394967	0.8389287570514701	-1.423191823343497
2.67000000000121	-2.265644408966473	0.8424526082594541	-1.4231918007070192
2.6750000000012206	-2.2701411715344437	0.8469493823041025	-1.4231917892303412
2.680000000001231	-2.276382112975551	0.853190334043803	-1.423191778931748
2.6850000000012417	-2.2847146177582927	0.8615228414113587	-1.423191776346934
2.6900000000012523	-2.294874762258633	0.8716829598683549	-1.423191802390278
2.695000000001263	-2.3060466492352667	0.8828548166584518	-1.4231918325768151
2.7000000000012734	-2.3171060324200523	0.8939141592110741	-1.4231918732089783
2.705000000001284	-2.3269300147657095	0.9037381140151161	-1.4231919007505933
2.7100000000012945	-2.3345801331445655	0.9113882243275719	-1.4231919088169938
2.715000000001305	-2.3393306298740804	0.9161387164421917	-1.4231919134318884
2.7200000000013156	-2.3405953533393	0.9174034535791528	-1.4231918997601474
2.725000000001326	-2.337950198593738	0.9147583024370165	-1.4231918961567214
2.7300000000013367	-2.3312882357847458	0.9080963455022135	-1.4231918902825322
2.7350000000013472	-2.321060434788312	0.897868580361555	-1.423191854426757
2.740000000001358	-2.3084068317323077	0.8852150142328433	-1.4231918174994644
2.7450000000013683	-2.2950272878857434	0.8718354818857321	-1.4231918060000113
2.750000000001379	-2.282775259913679	0.8595834939167711	-1.4231917659969082
2.7550000000013894	-2.2731025084699357	0.8499107553613087	-1.4231917531086271
2.7600000000014	-2.2666375347818204	0.8434457401868528	-1.4231917945949677
2.7650000000014106	-2.2631005510056355	0.8399087355216496	-1.423191815483986
2.770000000001421	-2.2616139645758038	0.8384221390596855	-1.4231918255161182
2.7750000000014317	-2.261212517027132	0.8380206739388799	-1.4231918430882522
2.780000000001442	-2.261240722022333	0.8380488848758527	-1.4231918371464802
2.7850000000014528	-2.2614493384589283	0.8382575436021681	-1.4231917948567605
2.7900000000014633	-2.261883460459946	0.8386916631305877	-1.423191797329358
2.795000000001474	-2.2627229752290647	0.839531165019652	-1.423191810209413
2.8000000000014844	-2.2641695841283953	0.8409777687101244	-1.423191815418271
2.805000000001495	-2.266384815672655	0.8431930278295714	-1.423191787843084
2.8100000000015055	-2.2694457035169653	0.8462539194031626	-1.4231917841138029
2.815000000001516	-2.2733217180233534	0.8501299299567664	-1.4231917880665872
2.8200000000015266	-2.2779379392761787	0.8547461461517625	-1.423191793124416
2.825000000001537	-2.28325527077503	0.8600635039856682	-1.4231917667893617
2.8300000000015477	-2.289251184907835	0.8660594103907924	-1.4231917745170426
2.8350000000015583	-2.295754335425988	0.8725625437113951	-1.4231917917145929
2.840000000001569	-2.3022458761778117	0.8790540405895523	-1.4231918355882596
2.8450000000015794	-2.30778261094023	0.884590723522782	-1.4231918874174483
2.85000000000159	-2.3111653563312387	0.8879734350769184	-1.42319192125432
2.8550000000016005	-2.3113408418454178	0.8881488887345452	-1.4231919531108723
