# t-t0	Cv	<r^2>
5.299999999996325	0.07467524590373652	8.033343805463307
5.349999999996209	-0.055318775899695076	8.137670100551096
5.399999999996092	-0.11368888421294143	8.23937428832562
5.449999999995976	-0.17989260770440424	8.333431765365969
5.499999999995859	-0.0977152509714716	8.418828824080606
5.549999999995743	0.0207403059071694	8.480756450375587
5.599999999995626	0.09128517056603051	8.526551786059771
5.64999999999551	-0.04883964203180583	8.579370712695118
5.699999999995393	-0.03588538511593234	8.642935082697782
5.749999999995277	-0.0614900120495116	8.719061383802847
5.79999999999516	-0.021881495284798273	8.795947781237555
5.849999999995044	0.04302304407243909	8.854757415073992
5.899999999994927	-0.017571118478807022	8.912632457921038
5.9499999999948106	0.03774988382987846	8.986132841165643
5.999999999994694	0.05585874926099679	9.059449176130595
6.0499999999945775	0.04662640782365855	9.134313030221476
6.099999999994461	0.1483558172122239	9.211443828146958
6.149999999994344	0.20562395926110388	9.287548950970976
6.199999999994228	0.22544901338882645	9.365935506383048
6.249999999994111	0.22797298754380882	9.451859938679382
6.299999999993995	0.14107175150782372	9.549485949585906
6.349999999993878	-0.04128913626340662	9.65184457516758
6.399999999993762	-0.17708113260032435	9.744515371552403
6.449999999993645	-0.18194103929031524	9.82407347820858
6.499999999993529	-0.07798266265033323	9.906021091491361
6.549999999993412	-0.04467199347382425	9.986751940120028
6.599999999993296	-0.038118542302101675	10.043402767082164
6.649999999993179	-0.021779321573049154	10.105732147333635
6.699999999993063	-0.016824570790719282	10.20140105509974
6.749999999992946	0.0539214561377924	10.311231954871525
6.79999999999283	0.1298241427078149	10.440360089089674
6.849999999992713	0.16786635354774987	10.580573086333324
6.8999999999925965	0.02126091624818093	10.71683480396327
6.94999999999248	-0.16730943142425886	10.839658587453194
6.999999999992363	-0.22448395624623632	10.961152068670964
7.049999999992247	-0.14588313237262185	11.074155609634623
7.09999999999213	-0.012805786444672913	11.181724648260602
7.149999999992014	0.06784785930465709	11.270731776748113
7.199999999991897	0.19292471488194546	11.332527749329984
7.249999999991781	0.18603740179928605	11.384459210659719
7.299999999991664	-0.049738030149767534	11.422401672043014
7.349999999991548	-0.23873018650747457	11.438726113547183
7.399999999991431	-0.25049487636620354	11.469633680777642
7.449999999991315	-0.19421018925493747	11.522703307371588
7.499999999991198	-0.14345014182931554	11.594532076784018
7.549999999991082	-0.11623964491306678	11.676998858591997
7.599999999990965	-0.03968567044319797	11.753803209015961
7.649999999990849	0.06627394794279899	11.849183167603767
7.699999999990732	-0.09371224437922253	11.974316690070978
7.7499999999906155	-0.21236524743644103	12.120911646235987
7.799999999990499	-0.20591419710817946	12.27513889655068
7.8499999999903824	-0.20421849373765913	12.420778758810847
7.899999999990266	-0.1063733908278301	12.572324066467852
